"Ozone","Solar.R","Wind","Temp","Month","Day"
23,133,8.88727690476191,77,7,17
NA,51,13.7893966666667,69,7,18
NA,207,11.5438807142857,71,8,20
66,192,6.99931666666666,83,7,18
49,245,8.67313999999999,83,7,14
11,211,11.7251166666667,72,7,18
NA,241,9.56444333333334,77,8,15
NA,167,9.91793666666667,79,7,14
NA,207,10.7619166666667,81,7,15
NA,158,8.74068333333333,83,7,17
32,151,10.4181433333333,78,7,16
12,144,11.536935,72,6,16
11,211,11.7251166666667,72,7,18
7,44,12.8481555555556,70,7,18
44,207,10.7619166666667,81,7,15
NA,131,10.7629085714286,74,7,16
122,243,4.31708,86,7,13
NA,NA,12.6759247619048,71,8,17
18,178,11.8378176190476,70,7,18
35,254,10.3940090476191,78,7,17
20,148,10.21875,76,7,18
NA,249,4.34287,85,7,11
39,216,9.62787,80,7,14
76,218,8.30259333333332,86,7,22
27,219,10.48925,78,8,14
NA,215,8.39750666666666,84,7,22
23,133,8.88727690476191,77,7,17
NA,220,9.06163,82,7,14
32,151,10.4181433333333,78,7,16
NA,207,11.5438807142857,71,8,20
NA,NA,8.87076,77,8,15
21,231,12.1737985714286,71,7,15
44,207,10.7619166666667,81,7,15
77,238,6.71934666666666,86,7,19
76,NA,8.30259333333332,86,7,22
NA,224,12.0221652380952,80,7,17
29,190,9.62587,78,7,16
73,NA,7.91136666666666,87,7,21
1,25,11.8568652380952,65,6,19
NA,178,11.8378176190476,70,7,18
NA,211,11.7251166666667,72,7,18
37,261,11.1847357142857,79,7,16
NA,NA,11.8378176190476,70,7,18
NA,266,10.6235066666667,80,7,13
29,190,9.62587,78,7,16
118,227,4.66983666666667,87,7,13
32,151,10.4181433333333,78,7,16
NA,31,13.5858085714286,72,7,17
12,144,11.536935,72,6,16
29,190,9.62587,78,7,16
28,238,8.87076,77,8,15
NA,151,10.4181433333333,78,7,16
NA,30,12.6759247619048,71,8,17
10,184,12.659950952381,72,6,16
16,136,9.43930460317461,75,7,18
NA,243,6.84227666666666,87,7,20
NA,NA,9.34162333333333,77,8,14
13,131,10.7629085714286,74,7,16
12,144,11.536935,72,6,16
89,204,7.88842333333333,89,7,12
28,238,8.87076,77,8,15
16,136,9.43930460317461,75,7,18
52,158,8.74068333333333,83,7,17
NA,238,6.71934666666666,86,7,19
21,231,12.1737985714286,71,7,15
NA,30,12.6759247619048,71,8,17
47,154,8.37286666666667,81,7,14
NA,133,8.88727690476191,77,7,17
NA,131,10.7629085714286,74,7,16
30,241,9.56444333333334,77,8,15
73,211,7.91136666666666,87,7,21
7,44,12.8481555555556,70,7,18
23,133,8.88727690476191,77,7,17
30,241,9.56444333333334,77,8,15
16,136,9.43930460317461,75,7,18
34,255,10.6396090476191,77,7,16
9,30,12.6759247619048,71,8,17
18,178,11.8378176190476,70,7,18
4,36,12.366113015873,65,6,19
13,131,10.7629085714286,74,7,16
64,215,8.39750666666666,84,7,22
23,133,8.88727690476191,77,7,17
18,178,11.8378176190476,70,7,18
84,218,7.76118333333334,87,7,22
23,133,8.88727690476191,77,7,17
NA,238,8.87076,77,8,15
NA,44,12.8481555555556,70,7,18
18,178,11.8378176190476,70,7,18
23,133,8.88727690476191,77,7,17
31,237,9.34162333333333,77,8,14
NA,NA,9.06163,82,7,14
NA,245,8.67313999999999,83,7,14
23,133,8.88727690476191,77,7,17
77,238,6.71934666666666,86,7,19
NA,217,7.59147666666666,87,7,22
115,225,5.32196,86,7,16
18,178,11.8378176190476,70,7,18
82,232,7.98938333333335,87,7,21
77,238,6.71934666666666,86,7,19
14,207,11.5438807142857,71,8,20
97,253,6.65544,87,7,15
NA,207,11.5438807142857,71,8,20
NA,232,7.98938333333335,87,7,21
NA,231,12.1737985714286,71,7,15
NA,30,12.6759247619048,71,8,17
84,218,7.76118333333334,87,7,22
80,243,6.84227666666666,87,7,20
45,224,12.0221652380952,80,7,17
32,151,10.4181433333333,78,7,16
59,163,8.00974000000001,83,7,17
NA,253,6.65544,87,7,15
6,51,13.7893966666667,69,7,18
NA,NA,11.536935,72,6,16
49,245,8.67313999999999,83,7,14
16,136,9.43930460317461,75,7,18
21,231,12.1737985714286,71,7,15
NA,133,8.88727690476191,77,7,17
11,211,11.7251166666667,72,7,18
64,NA,8.39750666666666,84,7,22
NA,223,7.30791000000001,86,7,20
NA,131,10.0092,76,7,17
27,219,10.48925,78,8,14
NA,133,8.88727690476191,77,7,17
NA,217,7.59147666666666,87,7,22
78,217,7.59147666666666,87,7,22
20,148,10.21875,76,7,18
21,NA,12.1737985714286,71,7,15
30,241,9.56444333333334,77,8,15
40,266,10.6235066666667,80,7,13
28,238,8.87076,77,8,15
NA,133,8.88727690476191,77,7,17
71,249,8.20567666666667,86,7,23
23,133,8.88727690476191,77,7,17
39,216,9.62787,80,7,14
44,207,10.7619166666667,81,7,15
1,25,11.8568652380952,65,6,19
9,30,12.6759247619048,71,8,17
16,136,9.43930460317461,75,7,18
37,261,11.1847357142857,79,7,16
23,133,8.88727690476191,77,7,17
23,133,8.88727690476191,77,7,17
13,131,10.7629085714286,74,7,16
78,217,7.59147666666666,87,7,22
NA,231,12.1737985714286,71,7,15
11,211,11.7251166666667,72,7,18
NA,238,8.87076,77,8,15
16,136,9.43930460317461,75,7,18
NA,44,12.8481555555556,70,7,18
NA,30,12.6759247619048,71,8,17
64,215,8.39750666666666,84,7,22
48,220,9.06163,82,7,14
96,204,7.41366666666667,89,7,11
63,220,9.55919,83,7,20
